CatID,Cytokines/Cytokine20260622.csv::CatID,Cytokines/Cytokine_imputed_SAS_PMM.csv::CatID,Cytokines/SDF1_group_only_PMM.csv::CatID,Cytokines/STEP2_MERGED_PMM.csv::CatID,Dysbiosis/DI.csv::CatID,Dysbiosis/DI.csv::RecordID,Fecal Metabolomic Repository/FECESWIDELN20260720.csv::SampleID,Fecal Metabolomic Repository/Feces_Pareto_Scaled_Analysis.csv::SampleID,GLP-1/GLP1.csv::CatID,GLP-1/GLP_BA_PAIRED.csv::CatID,Serum Metabolomic Repository/SERUMWIDELN20260716.csv::SampleID,Serum Metabolomic Repository/Serum_Pareto_Scaled_Analysis.csv::SampleID,Targeted Fecal Analyses/DI_revised.csv::CatID,Targeted Fecal Analyses/FA.csv::CatID,Targeted Fecal Analyses/ONE_TRANS_SCALED.csv::CatID,Targeted Fecal Analyses/TARGETEDFECAL_PARETO.csv::CatID,Targeted Fecal Analyses/fa_revised.csv::CatID,Serum_SampleID_linkage_basis,Fecal_SampleID_linkage_basis,Blank_identifier_meaning,Repeated_imputation_rows
1,1,1,1,1,1,DI014,15,15,1,1,15,15,1,1,1,1,1,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
2,2,2,2,2,2,DI020,25,25,2,2,25,25,2,2,2,2,2,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
3,3,3,3,3,,,,,,,29,29,,,,,,Verified private serum-to-CatID linkage,Not present in fecal metabolomics,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
4,4,4,4,4,4,DI001,1,1,4,,1,1,4,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
5,5,5,5,5,5,DI003,3,3,5,5,3,3,5,5,5,5,5,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
6,6,6,6,6,6,DI012,13,13,6,6,13,13,6,6,6,6,6,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
7,7,7,7,7,,,20,20,7,,20,20,,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
8,8,8,8,8,8,DI011,12,12,8,,12,12,8,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
9,9,9,9,9,9,DI010,11,11,9,9,11,11,9,9,9,9,9,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
10,10,10,10,10,10,DI015,16,16,10,,16,16,10,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
11,11,11,11,11,11,DI013,14,14,11,11,14,14,11,11,11,11,11,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
12,12,12,12,12,12,DI006,6,6,12,,6,6,12,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
13,13,13,13,13,,,10,10,13,,10,10,,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
14,14,14,14,14,14,DI004,4,4,14,,4,4,14,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
15,15,15,15,15,15,DI007,7,7,15,15,7,7,15,15,15,15,15,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
16,16,16,16,16,,,18,18,16,,18,18,,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
17,17,17,17,17,,,21,21,17,,21,21,,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
18,18,18,18,18,18,DI023,28,28,18,18,28,28,18,18,18,18,18,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
