CatID,Group,FAS,Flt3L,GM_CSF,IFNg,IL1b,IL2,PGDF_BB,IL12p40,IL13,IL4,IL6,IL8,KC,SDF1,RANTES,SCF,MCP1,TNFa,IL18
4,C,7.58,13.47,16.45,69.73,17.76,20.91,70.31,41.07,47.32,220.43,115.36,21.03,4.98,1041.31,6.77,49.45,2436.06,,110.2
22,C,,46.11,,20.86,2.5,1.25,363.68,78.61,5.17,28.26,7.72,9.16,0.13,400.74,13.73,80.54,1157.16,,49.82
5,C,1.65,56.07,4.77,55.55,18.98,8.47,376.27,219.48,34.51,162.62,89.46,16.32,2.27,708.48,10.7,214.75,1650.97,18.84,95.21
14,C,32.72,19.35,5.82,122.94,37.99,84.35,327.37,37.55,46.76,560.51,254.78,36.64,,1387.6,12.22,100.34,3221.84,74.87,760.84
28,C,2.43,66.7,0.72,22.91,1.81,1.59,91.49,223.66,6.67,33.89,9.47,9.37,1.68,356.3,9.81,84.91,1313.01,,17.77
12,C,1.5,48.94,1,31.09,5.44,4.78,471.47,153.55,9.95,50.62,17.45,7.4,5.21,762.73,15.58,59.24,1417.89,,98.65
15,C,2.73,31.81,6.18,21.85,6.24,15.92,572.1,59.25,45.94,135.58,40.86,13.19,5.09,1318.05,11.81,57.68,1272.53,,141.12
29,C,14.84,45.84,34.07,140.34,33.18,13.46,290.53,112.03,69.8,686.61,368.62,39.03,3.17,518.66,11.91,151.64,3003.99,172.49,388.32
25,C,,33.36,1,4.36,2.16,5.27,767.23,196.93,5.79,86.51,,15.52,,1076.91,13.58,143.01,782.95,,1.6
13,C,0.19,27.07,1.55,39.43,5.46,10.64,129.37,52.3,19.49,56.19,31.96,7.97,,693.81,4.73,60.59,1589.65,,208.34
9,C,,62,,16.58,1.99,1.59,,65.73,6.91,16.88,,4.99,,730.21,3.49,86.14,1157.16,,15.35
8,C,,38.16,5.28,22.24,29.46,10.64,416.17,143.31,7.86,47.85,105.96,15.61,4.42,,12.61,93.33,1219.46,15.77,148.03
6,C,3.02,33.73,14.61,105.18,30.33,16.25,58.76,77.56,56.21,439.6,277.33,32.4,,59.34,12.14,98.48,2891.8,64.09,459.85
11,C,7.26,14.7,10.94,45.43,11.55,25.11,613.6,28.2,38.35,161.05,77.89,15.79,1.94,745.5,7.1,41.71,1970.85,,127.32
1,C,0.19,45.85,0.72,15.86,1.91,3.32,205.78,93.6,4.92,18.33,3.35,4.75,0.13,617.83,11.86,109.15,999.89,,5.53
10,C,0.85,52.89,1.29,23.6,2.5,3.32,64.55,165.1,7.86,8.26,24.29,8.3,0.06,59.34,9.71,80.32,1372.32,,125.13
23,C,6.19,38.16,12.33,105.52,16.08,18.89,370.79,94.96,45.35,376.18,199.88,19.4,,452.94,9.9,75.73,2698.42,71.96,319.99
16,C,,42.01,2.48,33.95,17.02,1.59,41.38,248.47,26.57,1575.47,52.6,13.14,3.1,173.83,11.44,79.03,1676.01,,40.4
20,C,1.51,30.05,1,40.33,9.91,,466.07,229.37,8.69,115.21,188.67,17.45,,908.79,21.01,109.36,1779.37,6.07,15.34
7,C,7.02,36.37,8.7,103.16,23.91,9.63,2376.81,117.9,44.88,299.15,423.85,21.85,1.59,547.82,19.85,107.44,2365.78,42.72,111.35
17,C,,36.13,1.57,28.87,4.22,2.26,375,328.67,6.67,67.24,38,9.58,,253.24,19.66,52.44,1476.81,,99.83
19,D,6.04,41.65,11.97,38.25,17.77,12.56,462.14,367.13,47.99,138.28,157.62,45.47,14.85,1412.35,16.67,114.01,1717.19,,115.95
26,D,0.53,34.57,1.14,2.56,3.44,2.26,289.48,78.54,3.51,,,3.34,0.13,1205.1,5.41,42.87,429.91,,10.47
24,D,2.73,47.43,1.55,4.63,4.22,2.26,303.98,128.96,3.43,,3.35,5.23,,1793.84,7.19,67.29,637.41,,15.34
2,D,2.43,33.39,10.94,27.68,6.18,5.84,442.57,113,55.24,121.98,97,18.04,0.35,1794.45,13.4,155.88,1646,12.73,85.89
27,D,3.18,39.04,10.77,39.75,11.21,4.37,26.9,120.23,52.23,108.39,71.95,21.66,2.37,,10.7,86.65,1732.97,,41.59
21,D,1.5,53.28,0.43,43.07,7.73,4.78,620.11,189.77,9.05,119.29,33.75,19.62,0.47,942.41,18.21,122.84,1876.02,,27.36
18,D,,41.53,0.43,6.41,2.13,3.32,29.79,144.93,5.17,,8.61,6.01,2.37,686.49,7.03,140.91,697.71,,1.6
3,D,3.91,11.79,7.92,60.9,7.01,9.63,18.21,47.19,33.27,122.01,68.01,19.15,0.21,410.73,6.97,31.09,2058.43,,184.5
