CatID,Group,FAS,Flt3L,GM_CSF,IFNg,IL1b,IL2,PGDF_BB,IL12p40,IL13,IL4,IL6,IL8,KC,SDF1,RANTES,SCF,MCP1,TNFa,IL18,FAS_censored_flag,FAS_original,GM_CSF_censored_flag,GM_CSF_original,IFNg_censored_flag,IFNg_original,IL1b_censored_flag,IL1b_original,IL2_censored_flag,IL2_original,PGDF_BB_censored_flag,PGDF_BB_original,IL4_censored_flag,IL4_original,IL6_censored_flag,IL6_original,KC_censored_flag,KC_original,TNFa_censored_flag,TNFa_original,IL18_censored_flag,IL18_original,SDF1_censored_flag
18,D,1.4333054479,41.53,1.4792673887,6.41,4.8656017695,3.32,33.771419926,144.93,5.17,7.1410713952,7.4988674271,6.01,2.37,686.49,7.03,140.91,697.71,31.136032948,14.620846939,1,,1,0.43,0,6.41,1,2.13,0,3.32,1,29.79,1,,1,8.61,0,2.37,1,,1,1.6,0
4,C,7.58,13.47,16.45,69.73,17.76,20.91,70.31,41.07,47.32,220.43,115.36,21.03,4.98,1041.31,6.77,49.45,2436.06,31.136032948,110.2,0,7.58,0,16.45,0,69.73,0,17.76,0,20.91,0,70.31,0,220.43,0,115.36,0,4.98,1,,0,110.2,0
19,D,6.04,41.65,11.97,38.25,17.77,12.56,462.14,367.13,47.99,138.28,157.62,45.47,14.85,1412.35,16.67,114.01,1717.19,31.136032948,115.95,0,6.04,0,11.97,0,38.25,0,17.77,0,12.56,0,462.14,0,138.28,0,157.62,0,14.85,1,,0,115.95,0
26,D,1.4333054479,34.57,1.4792673887,3.031366776,4.8656017695,2.0159614365,289.48,78.54,3.51,7.1410713952,7.4988674271,3.34,0.2750645383,1205.1,5.41,42.87,429.91,31.136032948,14.620846939,1,0.53,1,1.14,1,2.56,1,3.44,1,2.26,0,289.48,1,,1,,1,0.13,1,,1,10.47,0
17,C,1.4333054479,36.13,1.4792673887,28.87,4.8656017695,2.0159614365,375,328.67,6.67,67.24,38,9.58,0.2750645383,253.24,19.66,52.44,1476.81,31.136032948,99.83,1,,1,1.57,0,28.87,1,4.22,1,2.26,0,375,0,67.24,0,38,1,,1,,0,99.83,0
22,C,1.4333054479,46.11,1.4792673887,20.86,4.8656017695,2.0159614365,363.68,78.61,5.17,28.26,7.4988674271,9.16,0.2750645383,400.74,13.73,80.54,1157.16,31.136032948,49.82,1,,1,,0,20.86,1,2.5,1,1.25,0,363.68,0,28.26,1,7.72,1,0.13,1,,0,49.82,0
5,C,1.4333054479,56.07,4.77,55.55,18.98,8.47,376.27,219.48,34.51,162.62,89.46,16.32,2.27,708.48,10.7,214.75,1650.97,31.136032948,95.21,1,1.65,0,4.77,0,55.55,0,18.98,0,8.47,0,376.27,0,162.62,0,89.46,0,2.27,1,18.84,0,95.21,0
14,C,32.72,19.35,5.82,122.94,37.99,84.35,327.37,37.55,46.76,560.51,254.78,36.64,0.2750645383,1387.6,12.22,100.34,3221.84,74.87,760.84,0,32.72,0,5.82,0,122.94,0,37.99,0,84.35,0,327.37,0,560.51,0,254.78,1,,0,74.87,0,760.84,0
28,C,2.43,66.7,1.4792673887,22.91,4.8656017695,2.0159614365,91.49,223.66,6.67,33.89,7.4988674271,9.37,1.68,356.3,9.81,84.91,1313.01,31.136032948,14.620846939,0,2.43,1,0.72,0,22.91,1,1.81,1,1.59,0,91.49,0,33.89,1,9.47,0,1.68,1,,1,17.77,0
12,C,1.4333054479,48.94,1.4792673887,31.09,4.8656017695,4.78,471.47,153.55,9.95,50.62,17.45,7.4,5.21,762.73,15.58,59.24,1417.89,31.136032948,98.65,1,1.5,1,1,0,31.09,1,5.44,0,4.78,0,471.47,0,50.62,0,17.45,0,5.21,1,,0,98.65,0
