Analysis,CatID,GroupCode,_Imputation_,SDF1_Observed,SDF1
Group-only PMM,18,D,1,686.49,686.49
Group-only PMM,4,C,1,1041.31,1041.31
Group-only PMM,19,D,1,1412.35,1412.35
Group-only PMM,26,D,1,1205.1,1205.1
Group-only PMM,17,C,1,253.24,253.24
Group-only PMM,22,C,1,400.74,400.74
Group-only PMM,5,C,1,708.48,708.48
Group-only PMM,14,C,1,1387.6,1387.6
Group-only PMM,28,C,1,356.3,356.3
Group-only PMM,12,C,1,762.73,762.73
Group-only PMM,15,C,1,1318.05,1318.05
Group-only PMM,29,C,1,518.66,518.66
Group-only PMM,27,D,1,,1412.35
Group-only PMM,21,D,1,942.41,942.41
Group-only PMM,25,C,1,1076.91,1076.91
Group-only PMM,13,C,1,693.81,693.81
Group-only PMM,9,C,1,730.21,730.21
Group-only PMM,3,D,1,410.73,410.73
Group-only PMM,24,D,1,1793.84,1793.84
Group-only PMM,8,C,1,,708.48
Group-only PMM,6,C,1,59.34,59.34
Group-only PMM,11,C,1,745.5,745.5
Group-only PMM,2,D,1,1794.45,1794.45
Group-only PMM,7,C,1,547.82,547.82
Group-only PMM,1,C,1,617.83,617.83
Group-only PMM,10,C,1,59.34,59.34
Group-only PMM,23,C,1,452.94,452.94
Group-only PMM,16,C,1,173.83,173.83
Group-only PMM,20,C,1,908.79,908.79
Group-only PMM,18,D,2,686.49,686.49
Group-only PMM,4,C,2,1041.31,1041.31
Group-only PMM,19,D,2,1412.35,1412.35
Group-only PMM,26,D,2,1205.1,1205.1
Group-only PMM,17,C,2,253.24,253.24
Group-only PMM,22,C,2,400.74,400.74
Group-only PMM,5,C,2,708.48,708.48
Group-only PMM,14,C,2,1387.6,1387.6
Group-only PMM,28,C,2,356.3,356.3
Group-only PMM,12,C,2,762.73,762.73
Group-only PMM,15,C,2,1318.05,1318.05
Group-only PMM,29,C,2,518.66,518.66
Group-only PMM,27,D,2,,1412.35
Group-only PMM,21,D,2,942.41,942.41
Group-only PMM,25,C,2,1076.91,1076.91
Group-only PMM,13,C,2,693.81,693.81
Group-only PMM,9,C,2,730.21,730.21
Group-only PMM,3,D,2,410.73,410.73
Group-only PMM,24,D,2,1793.84,1793.84
Group-only PMM,8,C,2,,1041.31
Group-only PMM,6,C,2,59.34,59.34
Group-only PMM,11,C,2,745.5,745.5
Group-only PMM,2,D,2,1794.45,1794.45
Group-only PMM,7,C,2,547.82,547.82
Group-only PMM,1,C,2,617.83,617.83
Group-only PMM,10,C,2,59.34,59.34
Group-only PMM,23,C,2,452.94,452.94
Group-only PMM,16,C,2,173.83,173.83
Group-only PMM,20,C,2,908.79,908.79
Group-only PMM,18,D,3,686.49,686.49
Group-only PMM,4,C,3,1041.31,1041.31
Group-only PMM,19,D,3,1412.35,1412.35
Group-only PMM,26,D,3,1205.1,1205.1
Group-only PMM,17,C,3,253.24,253.24
Group-only PMM,22,C,3,400.74,400.74
Group-only PMM,5,C,3,708.48,708.48
Group-only PMM,14,C,3,1387.6,1387.6
Group-only PMM,28,C,3,356.3,356.3
Group-only PMM,12,C,3,762.73,762.73
Group-only PMM,15,C,3,1318.05,1318.05
Group-only PMM,29,C,3,518.66,518.66
Group-only PMM,27,D,3,,942.41
Group-only PMM,21,D,3,942.41,942.41
Group-only PMM,25,C,3,1076.91,1076.91
Group-only PMM,13,C,3,693.81,693.81
Group-only PMM,9,C,3,730.21,730.21
Group-only PMM,3,D,3,410.73,410.73
Group-only PMM,24,D,3,1793.84,1793.84
Group-only PMM,8,C,3,,253.24
Group-only PMM,6,C,3,59.34,59.34
Group-only PMM,11,C,3,745.5,745.5
Group-only PMM,2,D,3,1794.45,1794.45
Group-only PMM,7,C,3,547.82,547.82
Group-only PMM,1,C,3,617.83,617.83
Group-only PMM,10,C,3,59.34,59.34
Group-only PMM,23,C,3,452.94,452.94
Group-only PMM,16,C,3,173.83,173.83
Group-only PMM,20,C,3,908.79,908.79
Group-only PMM,18,D,4,686.49,686.49
Group-only PMM,4,C,4,1041.31,1041.31
Group-only PMM,19,D,4,1412.35,1412.35
Group-only PMM,26,D,4,1205.1,1205.1
Group-only PMM,17,C,4,253.24,253.24
Group-only PMM,22,C,4,400.74,400.74
Group-only PMM,5,C,4,708.48,708.48
Group-only PMM,14,C,4,1387.6,1387.6
Group-only PMM,28,C,4,356.3,356.3
Group-only PMM,12,C,4,762.73,762.73
Group-only PMM,15,C,4,1318.05,1318.05
Group-only PMM,29,C,4,518.66,518.66
Group-only PMM,27,D,4,,686.49
Group-only PMM,21,D,4,942.41,942.41
Group-only PMM,25,C,4,1076.91,1076.91
Group-only PMM,13,C,4,693.81,693.81
Group-only PMM,9,C,4,730.21,730.21
Group-only PMM,3,D,4,410.73,410.73
Group-only PMM,24,D,4,1793.84,1793.84
Group-only PMM,8,C,4,,400.74
Group-only PMM,6,C,4,59.34,59.34
Group-only PMM,11,C,4,745.5,745.5
