RecordID,CatID,DI,Faecalibacterium,Turicibacter,Streptococcus,Ecoli,Blautia,Fusobacterium,Clostridium_hiranonis,Bifidobacterium,Bacteriodes,group
DI001,4,-0.48,4.03,8.33,2.98,5.41,10.27,7.73,5.73,5.74,6.3,Control
DI002,22,0.19,4.68,6.71,3.13,4.76,10.24,6.77,5.87,3.91,4.16,Control
DI003,5,-0.27,6.79,6.02,4.09,5.5,10.71,7.9,6.51,4.84,4.71,Control
DI004,14,1.45,6.67,5.53,3.58,6.14,10.91,7.94,0.54,6.12,6.46,Control
DI005,28,0.63,4.97,5.49,7.57,2.4,10.49,7.5,6.02,5.14,4.05,Control
DI006,12,-2.23,6.46,7.36,2.74,4.92,10.05,7.54,5.61,6.87,5.09,Control
DI007,15,1.66,5.78,5.41,7,6.6,9.85,7.23,5.89,7.15,4.44,Control
DI008,29,-0.76,6.62,8.94,4.66,6.28,10.84,8.1,6.59,5.88,5.65,Control
DI009,25,0.71,5.86,5.3,3.85,5.83,10.32,7.53,6.08,5.91,4.65,Control
DI010,9,-2.81,6.1,5.16,2.9,3.55,10.05,7.35,5.94,4.81,6.07,Control
DI011,8,-1.36,4.96,5.69,3.57,2.92,10.06,6.91,6.25,4.58,4.01,Control
DI012,6,-3.59,6.26,7.85,3.38,1.39,10.65,7.75,6.44,5.93,5.39,Control
DI013,11,-0.42,7.12,7.61,5.18,5.02,10.78,7.64,6.83,3.98,4.58,Control
DI014,1,-3.35,6.14,7.43,3.17,1.39,10.45,7.08,6.29,5.38,4.54,Control
DI015,10,-0.1,5.42,7.29,4.06,5.54,10.81,7.52,7.13,4.36,4.89,Control
DI016,20,-2.14,6.57,8.09,3.21,4.5,10.46,7.59,5.77,4.53,6.94,Control
DI017,19,-1.08,6.64,7.36,3.97,6.65,9.98,8.12,5.81,8.16,6.33,DM
DI018,26,1.78,4.34,4.5,3.05,6.8,10.38,8.39,6.8,2.98,6.18,DM
DI019,24,0.78,6.17,6.8,4.77,5.17,10.62,7.11,5.81,3.6,4.67,DM
DI020,2,2.2,6.18,7.41,4.47,6.41,10.72,7.35,0.1,3.7,4.96,DM
DI021,27,1.5,5.46,5.72,7.14,5.69,10.56,7.19,6.72,6.65,4.75,DM
DI022,21,-0.87,6.77,5.44,3.34,6.13,10.43,7.46,6.69,6.58,4.88,DM
DI023,18,0.63,5.75,8.38,5.46,6.2,10.69,7.21,6.88,4.75,4.7,DM
DI024,30,0.33,5.03,6.9,3.14,2.34,10.21,7.27,0.72,4.96,3.58,DM
DI025,31,-0.3,6.79,6.11,7.52,4.13,9.72,6.42,6.21,7.67,5.22,DM
