FeatureID,LIB_ID,COMP_ID,SUPER_PATHWAY,SUB_PATHWAY,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
F30,305,39583,Lipid,Mevalonate Metabolism,NAMED,KJTLQQUUPVSXIM-UHFFFAOYSA-N,CC(CCO)(CC(O)=O)O,mevalonate,96949-03-0,388367,HMDB0000227,C02104,449,Polar
F49,400,1408,Amino Acid,Polyamine Metabolism,NAMED,KIDHWZJUCRJVML-UHFFFAOYSA-N,NCCCCN,putrescine,110-60-1,13837702,HMDB0001414,C00134,1045,Pos Early
F50,400,485,Amino Acid,Polyamine Metabolism,NAMED,ATHGHQPFGPMSJY-UHFFFAOYSA-N,NCCCCNCCCN,spermidine,124-20-9,1071,HMDB0001257,C00315,1102,Pos Early
F54,400,1527,Nucleotide,"Purine Metabolism, Adenine containing",NAMED,SATCOUWSAZBIJO-UHFFFAOYSA-N,CN1C=NC2=C(C1=N)N=CN2,1-methyladenine,5142-22-3,71157,HMDB0011599,C02216,135398646,Pos Early
F55,400,27665,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,NAMED,LDHMAVIPBRSVRG-UHFFFAOYSA-N,C[N+]1=CC(C([NH-])=O)=CC=C1,1-methylnicotinamide,1005-24-9,8305504,HMDB0000699,C02918,457,Pos Early
F62,209,38395,Lipid,"Fatty Acid, Dihydroxy",NAMED,CQSLTKIXAJTQGA-FLIBITNWSA-N,CCCCCC(C(C/C=C\CCCCCCCC(O)=O)O)O,"12,13-DiHOME",263399-35-5,8412123,HMDB0004705,C14829,10236635,Neg
F71,400,437,Amino Acid,Tryptophan Metabolism,NAMED,DUUGKQCEGZLZNO-UHFFFAOYSA-N,OC1=CC=C(NC=C2CC(O)=O)C2=C1,5-hydroxyindoleacetate,54-16-0,1760,HMDB0000763,C05635,1826,Pos Early
F75,209,37137,Nucleotide,"Pyrimidine Metabolism, Uracil containing",NAMED,HWDMHJDYMFRXOX-UHFFFAOYSA-N,OCC1OC(N2C=CC(NC2=O)=O)C3OP(O)(OC13)=O,"uridine-2',3'-cyclic monophosphate",40632-52-8,3824355,HMDB0011640,C02355,439715,Neg
F93,305,528,Energy,TCA Cycle,NAMED,KPGXRSRHYNQIFN-UHFFFAOYSA-N,O=C(C(O)=O)CCC(O)=O,alpha-ketoglutarate,"328-50-7,22202-68-2,305-72-6",50,HMDB0000208,C00026,51,Polar
F98,209,1417,Amino Acid,Tryptophan Metabolism,NAMED,HCZHHEIFKROPDY-UHFFFAOYSA-N,OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1,kynurenate,492-27-3,3712,HMDB0000715,C01717,3845,Neg
