CatID,Age,Concentration_pM,group
1,7y9m,34.429,C
2,17y9m,79.147,D
4,14y6m,6.977,C
5,11y4m,120.424,C
6,8y10m,42.823,C
7,3y8m,10.334,C
8,9y1m,6.735,C
9,10y,10.39,C
10,10y,16.372,C
11,9y8m,37.579,C
12,8y,11.267,C
13,8y10m,28.119,C
14,10y9m,30.79,C
15,15y9m,30.118,C
16,10y4m,32.014,C
17,6y5m,22.297,C
18,8y10m,66.585,D
19,15y3m,56.813,D
20,10y10m,11.267,C
21,13y4m,26.967,D
22,9y10m,16.678,C
23,8y10m,7.393,C
24,18y8m,107.048,D
25,2y7m,83.437,C
26,8y11m,57.701,D
27,18y4m,28.624,D
28,10y2m,9.428,C
29,14y10m,63.543,C
