CatID,chenodeoxycholic_acid,Total_PBA,Total_SBA,Total_BA,GroupFA,Total_GLP1,GroupDM,Log_GLP1,Log_CDCA
1,50,168,3119,3287,C,34.429,0,3.5388992325,3.9120230054
2,1319,13835,1107,14942,D,79.147,1,4.3713068829,7.1846291527
5,34,194,11838,12032,C,120.424,0,4.7910188486,3.5263605246
6,79,233,1300,1533,C,42.823,0,3.7570753414,4.3694478525
9,16,119,916,1034,C,10.39,0,2.3408438051,2.7725887222
11,169,408,13321,13729,C,37.579,0,3.6264453837,5.1298987149
15,160,887,1934,2821,C,30.118,0,3.4051229997,5.0751738152
18,41,148,5457,5605,D,66.585,1,4.198479327,3.7135720667
19,365,2422,1673,4095,D,56.813,1,4.0397651728,5.8998973536
21,59,148,2646,2794,D,26.967,1,3.2946138963,4.0775374439
28,11,77,1442,1519,C,9.428,0,2.2436839851,2.3978952728
29,39,141,1676,1817,C,63.543,0,4.1517168421,3.6635616461
