FeatureID,Raw_P,Q_value,LSMean_1,LSMean_1_LCL,LSMean_1_UCL,LSMean_2,LSMean_2_LCL,LSMean_2_UCL,L2FC,FC,ChemicalName,SuperPathway,SubPathway
S100000007,0.1109,0.3425,0.0983236951,-0.059237883,0.255885273,-0.175200766,-0.452428343,0.1020268106,-0.394612384,0.7606937284,carnitine,Lipid,Carnitine Metabolism
S100000008,0.1669,0.4337,0.0379027157,-0.09455252,0.1703579511,0.2360272128,0.0029739237,0.4690805018,0.2858332294,1.2191141605,benzoate,Xenobiotics,Benzoate Metabolism
S100000010,0.1407,0.3907,0.3943689177,-0.085473234,0.8742110698,-0.372676484,-1.216952601,0.4715996327,-1.106612598,0.4643831088,3-phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism
S100000011,0.8327,0.9265,-0.11143077,-0.446119421,0.2232578801,-0.036309482,-0.625189873,0.5525709092,0.1083771105,1.0780148938,phenylacetate,Amino Acid,Phenylalanine Metabolism
S100000014,0.2188,0.4859,0.3382672355,-0.101035655,0.7775701256,-0.244126382,-1.017074187,0.5288214226,-0.840216384,0.5585597865,hippurate,Xenobiotics,Benzoate Metabolism
S100000016,0.3879,0.6533,0.0036067875,-0.199411209,0.2066247837,0.1911539306,-0.166053632,0.548361493,0.2705733332,1.2062871162,suberate (C8-DC),Lipid,"Fatty Acid, Dicarboxylate"
S100000036,0.9829,0.9893,-0.059314964,-0.280384768,0.1617548404,-0.064353007,-0.453322494,0.3246164799,-0.00726836,0.9949746262,3-methyl-2-oxovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
S100000039,0.1778,0.4476,-0.044210908,-0.275488125,0.1870663082,0.2927294888,-0.114199809,0.699658787,0.4861022398,1.400655578,methionine sulfoxide,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
S100000042,0.0139,0.1205,-0.084802759,-0.344891683,0.1752861659,0.6366733449,0.1790502155,1.0942964743,1.0408699967,2.057468006,3-methylhistidine,Amino Acid,Histidine Metabolism
S100000044,0.3997,0.6643,-0.029475783,-0.213117455,0.1541658887,-0.194861765,-0.517976933,0.1282534027,-0.238601536,0.8475664954,anserine,Amino Acid,Histidine Metabolism
S100000054,0.0205,0.1411,-0.052949806,-0.626599061,0.5206994491,1.4364308952,0.4271023828,2.4457594075,2.1487221515,4.4343484813,5-hydroxylysine,Amino Acid,Lysine Metabolism
S100000092,0.3238,0.5917,-0.204171658,-0.529119091,0.1207757743,0.139587791,-0.432153052,0.7113286344,0.4959400529,1.4102393607,2-ketogulonate,Carbohydrate,"Fructose, Mannose and Galactose Metabolism"
S100000096,0.1941,0.4662,-0.149114385,-0.386070602,0.0878418328,0.1831216469,-0.233799781,0.6000430745,0.479315275,1.3940818568,4-guanidinobutanoate,Amino Acid,Guanidino and Acetamido Metabolism
S100000101,0.5728,0.7758,0.038931783,-0.22023801,0.2981015757,0.1946400772,-0.261365851,0.6506460059,0.2246395839,1.1684852995,pimelate (C7-DC),Lipid,"Fatty Acid, Dicarboxylate"
S100000112,0.933,0.9741,-0.058399286,-0.466634787,0.3498362139,-0.094875669,-0.8131608,0.6234094619,-0.052624296,0.9641808651,creatine phosphate,Amino Acid,Creatine Metabolism
S100000125,0.0961,0.3148,0.0454833833,-0.125963975,0.2169307414,-0.265910944,-0.567570373,0.0357484856,-0.449247051,0.7324250039,2'-deoxycytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing"
S100000135,0.0218,0.1456,-0.347368614,-0.698696701,0.0039594737,0.5542047213,-0.063952546,1.1723619888,1.3006953797,2.4634759371,2'-deoxyinosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
S100000257,0.1226,0.3595,-0.070765524,-0.226945728,0.0854146794,0.1914418399,-0.083355227,0.4662389065,0.3782852639,1.2997960455,glucuronate,Carbohydrate,Aminosugar Metabolism
S100000258,0.0356,0.1881,0.0380434926,-0.163831462,0.239918447,0.5088590046,0.1536626096,0.8640553996,0.6792432043,1.6012995398,glycerol 3-phosphate,Lipid,Glycerolipid Metabolism
S100000263,0.0065,0.091,-0.083027132,-0.311408488,0.1453542236,0.6275190088,0.2256849404,1.0293530773,1.0251013938,2.0351024079,imidazole lactate,Amino Acid,Histidine Metabolism
S100000265,0.5757,0.7767,0.0316485547,-0.113636852,0.1769339613,-0.054984852,-0.310612663,0.2006429593,-0.124985586,0.9170132052,kynurenine,Amino Acid,Tryptophan Metabolism
S100000269,0.0001,0.0019,-0.135367778,-0.249346456,-0.0213891,0.5670584387,0.366514415,0.7676024623,1.0133868194,2.0186444396,glycerophosphorylcholine (GPC),Lipid,Phospholipid Metabolism
S100000272,0.2334,0.4997,-0.479967258,-0.793535422,-0.166399093,-0.077524221,-0.629243388,0.4741949465,0.5806025731,1.4954737355,allo-threonine,Amino Acid,"Glycine, Serine and Threonine Metabolism"
S100000282,0.428,0.6863,0.0133793801,-0.170906062,0.1976648222,0.1694594252,-0.154788448,0.4937072989,0.2251759072,1.1689197658,N-acetylglutamate,Amino Acid,Glutamate Metabolism
S100000406,0.6311,0.8178,-0.003038834,-0.109856639,0.1037789715,0.0515597092,-0.13638485,0.2395042682,0.0787690468,1.0561165439,ribitol,Carbohydrate,Pentose Metabolism
S100000409,0.7823,0.909,0.035464683,-0.366554421,0.4374837867,0.1535444082,-0.553803053,0.8608918691,0.1703530341,1.1253338254,2-isopropylmalate,Xenobiotics,Food Component/Plant
