FeatureID,COMP_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM
S100000007,15500,Lipid,Carnitine Metabolism,1949,PHIQHXFUZVPYII-ZCFIWIBFSA-N,[O-]C(C[C@@H](O)C[N+](C)(C)C)=O,carnitine,carnitine,461-05-2,10455,HMDB0000062,"C00487,C00308",288
S100000008,15778,Xenobiotics,Benzoate Metabolism,4497,WPYMKLBDIGXBTP-UHFFFAOYSA-N,OC(C1=CC=CC=C1)=O,benzoate,benzoate,65-85-0,238,HMDB0001870,C00180,243
S100000010,15749,Xenobiotics,Benzoate Metabolism,4595,XMIIGOLPHOKFCH-UHFFFAOYSA-N,OC(CCC1=CC=CC=C1)=O,3-phenylpropionate (hydrocinnamate),3-phenylpropionate (hydrocinnamate),501-52-0,10181339,HMDB0000764,C05629,107
S100000011,57745,Amino Acid,Phenylalanine Metabolism,160,WLJVXDMOQOGPHL-UHFFFAOYSA-N,O=C(O)CC1=CC=CC=C1,phenylacetate,phenylacetate,103-82-2,10181341,HMDB0000209,C07086,999
S100000014,15753,Xenobiotics,Benzoate Metabolism,4482,QIAFMBKCNZACKA-UHFFFAOYSA-N,O=C(C1=CC=CC=C1)NCC(O)=O,hippurate,hippurate,495-69-2,451,HMDB0000714,C01586,464
S100000016,15730,Lipid,"Fatty Acid, Dicarboxylate",1693,TYFQFVWCELRYAO-UHFFFAOYSA-N,OC(CCCCCCC(O)=O)=O,suberate (C8-DC),suberate (C8-DC),505-48-6,10025,HMDB0000893,C08278,10457
S100000036,15676,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",399,JVQYSWDUAOAHFM-UHFFFAOYSA-N,CCC(C)C(C(O)=O)=O,3-methyl-2-oxovalerate,3-methyl-2-oxovalerate,"51829-07-3,1460-34-0",46,HMDB0000491,"C03465,C06008,C00671","439286,440877"
S100000039,18374,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",446,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,O=C(O)[C@@H](N)CCS(C)=O,methionine sulfoxide,methionine sulfoxide,3226-65-1,139840,HMDB0002005,C02989,158980
S100000042,15677,Amino Acid,Histidine Metabolism,74,JDHILDINMRGULE-LURJTMIESA-N,N[C@H](C(O)=O)CC1=CN=CN1C,3-methylhistidine,3-methylhistidine,368-16-1,58494,HMDB0000479,C01152,64969
S100000044,15747,Amino Acid,Histidine Metabolism,89,MYYIAHXIVFADCU-QMMMGPOBSA-N,CN1C=NC=C1C[C@@H]([C@@](O)=O)NC(CCN)=O,anserine,anserine,10030-52-1,100482,HMDB0000194,C01262,112072
S100000054,15685,Amino Acid,Lysine Metabolism,121,YSMODUONRAFBET-AKGZTFGVSA-N,N[C@@H](CCC(O)CN)C(O)=O,5-hydroxylysine,5-hydroxylysine,13204-98-3,1002,HMDB0000450,C16741,3032849
S100000092,15306,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",1385,VBUYCZFBVCCYFD-NUNKFHFFSA-N,OC[C@H](O)[C@@H](O)[C@H](O)C(C(O)=O)=O,2-ketogulonate,2-ketogulonate,342385-52-8,92502,HMDB0011732,C15673,102424
S100000096,15681,Amino Acid,Guanidino and Acetamido Metabolism,571,TUHVEAJXIMEOSA-UHFFFAOYSA-N,N=C(N)NCCCC(O)=O,4-guanidinobutanoate,4-guanidinobutanoate,"463-003,463-00-3",486,HMDB0003464,C01035,500
S100000101,15704,Lipid,"Fatty Acid, Dicarboxylate",1690,WLJVNTCWHIRURA-UHFFFAOYSA-N,OC(CCCCCC(O)=O)=O,pimelate (C7-DC),pimelate (C7-DC),111-16-0,376,HMDB0000857,C02656,385
S100000112,33951,Amino Acid,Creatine Metabolism,538,DRBBFCLWYRJSJZ-UHFFFAOYSA-N,N=C(N(C)CC(O)=O)NP(O)(O)=O,creatine phosphate,creatine phosphate,"922-32-7,67-07-2",567,HMDB0001511,C02305,"9548602,587"
S100000125,15949,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4281,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,[H][C@]1([H])[C@@](O)([H])[C@](CO)([H])O[C@]1(N2C(N=C(N)C=C2)=O)[H],2'-deoxycytidine,2'-deoxycytidine,951-77-9,13117,HMDB0000014,C00881,13711
S100000135,15076,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4146,VGONTNSXDCQUGY-RRKCRQDMSA-N,OC[C@@H]1[C@H](C[C@H](N2C=NC3=C2N=CN=C3O)O1)O,2'-deoxyinosine,2'-deoxyinosine,890-38-0,58569,HMDB0000071,C05512,135398593
S100000257,15443,Carbohydrate,Aminosugar Metabolism,1423,AEMOLEFTQBMNLQ-QIUUJYRFSA-N,O[C@@H]1O[C@H]([C@](O)=O)[C@@H](O)[C@H](O)[C@H]1O,glucuronate,glucuronate,207300-70-7,58552,HMDB0000127,C16245,"441478,23677976,94715,65041,444791"
S100000258,43847,Lipid,Glycerolipid Metabolism,2860,AWUCVROLDVIAJX-UHFFFAOYSA-N,O=P(O)(OCC(CO)O)O,glycerol 3-phosphate,glycerol 3-phosphate,29849-82-9,734,HMDB0000126,C0093,754
S100000263,15716,Amino Acid,Histidine Metabolism,85,ACZFBYCNAVEFLC-UHFFFAOYSA-N,OC(C(O)=O)CC1=CN=CN1,imidazole lactate,imidazole lactate,14403-45-3,389128,HMDB0002320,C05568,793
S100000265,15140,Amino Acid,Tryptophan Metabolism,272,YGPSJZOEDVAXAB-QMMMGPOBSA-N,N[C@H](C(O)=O)CC(C1=CC=CC=C1N)=O,kynurenine,kynurenine,2922-83-0,141580,HMDB0000684,C00328,161166
S100000269,15990,Lipid,Phospholipid Metabolism,2253,SUHOQUVVVLNYQR-MRVPVSSYSA-N,O=P(OCC[N+](C)(C)C)([O-])OC[C@H](O)CO,glycerophosphorylcholine (GPC),glycerophosphorylcholine (GPC),28319-77-9,571409,HMDB0000086,C00670,71920
S100000272,15142,Amino Acid,"Glycine, Serine and Threonine Metabolism",19,AYFVYJQAPQTCCC-HRFVKAFMSA-N,O=C(O)[C@@H](N)[C@H](C)O,allo-threonine,allo-threonine,28954-12-3,89699,HMDB0004041,C05519,99289
S100000282,15720,Amino Acid,Glutamate Metabolism,49,RFMMMVDNIPUKGG-YFKPBYRVSA-N,O=C(O)CC[C@@H](C(O)=O)NC(C)=O,N-acetylglutamate,N-acetylglutamate,5817-08-3,1266066,HMDB0001138,C00624,70914
S100000406,15772,Carbohydrate,Pentose Metabolism,1278,HEBKCHPVOIAQTA-ZXFHETKHSA-N,OC[C@@H](O)[C@@H](O)[C@@H](O)CO,ribitol,ribitol,488-81-3,10254628,"HMDB0002917,HMDB0001851,HMDB0000568,HMDB0000508","C00379,C01904,C00474,C00532",6912
S100000409,15667,Xenobiotics,Food Component/Plant,4801,BITYXLXUCSKTJS-UHFFFAOYSA-N,OC(CC(O)=O)(C(C)C)C(O)=O,2-isopropylmalate,2-isopropylmalate,3237-44-3,76,HMDB0000402,C02504,77
S100000447,18280,Amino Acid,Tyrosine Metabolism,224,WXTMDXOMEHJXQO-UHFFFAOYSA-N,O=C(O)C1=CC(O)=CC=C1O,gentisate,gentisate,490-79-9,3350,HMDB0000152,C00628,3469
S100000454,18319,Amino Acid,Lysine Metabolism,138,JJMDCOVWQOJGCB-UHFFFAOYSA-N,OC(CCCCN)=O,5-aminovalerate,5-aminovalerate,660-88-8,135,HMDB0003355,C00431,138
S100000463,18349,Amino Acid,Tryptophan Metabolism,303,XGILAAMKEQUXLS-UHFFFAOYSA-N,OC(C(O)=O)CC1=CNC2=C1C=CC=C2,indolelactate,indolelactate,832-97-3,83867,HMDB0000671,C02043,92904
S100000467,27672,Amino Acid,Tryptophan Metabolism,327,BXFFHSIDQOFMLE-UHFFFAOYSA-N,O=S(OC2=CNC1=CC=CC=C12)(O)=O,3-indoxyl sulfate,3-indoxyl sulfate,2642-37-7,9840,HMDB0000682,,10258
S100000486,17895,Amino Acid,Lysine Metabolism,114,KLPJXDPPMSJWKI-LURJTMIESA-N,N[C@@H](CCCCNC=O)C(O)=O,N6-formyllysine,N6-formyllysine,1190-48-3,64085,,,70923
S100000487,18357,Peptide,Dipeptide,844,STKYPAFSDFAEPH-LURJTMIESA-N,CC(C)[C@@H](C(O)=O)NC(CN)=O,glycylvaline,glycylvaline,1963-21-9,2006926,HMDB0028854,,2724807
S100000491,33422,Peptide,Gamma-glutamyl Amino Acid,658,XHHOHZPNYFQJKL-QWRGUYRKSA-N,O=C(O)[C@H](CC1=CC=CC=C1)NC(CC[C@@H](C(O)=O)N)=O,gamma-glutamylphenylalanine,gamma-glutamylphenylalanine,7432-24-8,99868,HMDB0000594,,111299
S100000551,22116,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",348,BKAJNAXTPSGJCU-UHFFFAOYSA-N,CC(C)CC(C(O)=O)=O,4-methyl-2-oxopentanoate,4-methyl-2-oxopentanoate,816-66-0,69,HMDB0000695,C00233,70
S100000580,20675,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1236,MPCAJMNYNOGXPB-SLPGGIOYSA-N,O[C@@H]1[C@@H](CO)OC[C@H](O)[C@H]1O,"1,5-anhydroglucitol (1,5-AG)","1,5-anhydroglucitol (1,5-AG)",154-58-5,,HMDB0002712,C07326,64960
S100000584,19266,Lipid,Monoacylglycerol,2891,RCRCTBLIHCHWDZ-DOFZRALJSA-N,CCCCC\C=C/C\C=C/C\C=C/C/C=C\CCCC(OC(CO)CO)=O,2-arachidonoylglycerol (20:4),2-arachidonoylglycerol (20:4),53847-30-6,4445451,HMDB0004666,C13856,5282280
S100000611,20458,Lipid,Lysoplasmalogen,2848,VLBPIWYTPAXCFJ-XMMPIXPASA-N,CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)O,1-palmityl-GPC (O-16:0),1-palmityl-GPC (O-16:0),52691-62-0,3845,,,3983
S100000616,52449,Lipid,Phosphatidylinositol (PI),2573,KRTOMQDUKGRFDJ-YKOKTLGVSA-N,CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP(O)(O[C@](C(O)(C(O)(C(O)([C@](O)1[H])[H])[H])[H])([C@]1(O)[H])[H])=O)OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)=O,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),383907-33-3,21403055,HMDB0009815,,
S100000626,34445,Lipid,Sphingosines,3180,DUYSYHSSBDVJSM-KRWOKUGFSA-N,OP([O-])(OC[C@@]([H])([C@](O)(/C=C/CCCCCCCCCCCCC)[H])[NH3+])=O,sphingosine 1-phosphate,sphingosine 1-phosphate,26993-30-6,4446673,HMDB0000277,C06124,5283560
S100000630,19260,Lipid,Lysophospholipid,2720,JZWNYZVVZXZRRH-YFKVPUFHSA-N,CCCCCCCC\C=C/CCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)O)=O,1-oleoyl-GPS (18:1),1-oleoyl-GPS (18:1),326589-90-6,7826049,HMDB0061694,,85036846
S100000656,19324,Lipid,Lysophospholipid,2738,MXAFDFDAIFZFET-CLBYPKMISA-N,[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCCCCCCCCCCCCCCCC)=O)O)=O)([C@]1(O)[H])[H])O,1-stearoyl-GPI (18:0),1-stearoyl-GPI (18:0),796963-93-4,21403067,HMDB0240261,,"71581135,42607495"
S100000657,19130,Lipid,Phosphatidylcholine (PC),2295,KILNVBDSWZSGLL-KXQOOQHDSA-N,CCCCCCCCCCCCCCCC(OC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)OC(CCCCCCCCCCCCCCC)=O)=O,"1,2-dipalmitoyl-GPC (16:0/16:0)","1,2-dipalmitoyl-GPC (16:0/16:0)",63-89-8,398235,HMDB0000564,D03585,452110
S100000665,44675,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1580,MBMBGCFOFBJSGT-KUBAVDMBSA-N,CC\C=C/C\C=C/C\C=C/C/C=C\C/C=C\C/C=C\CCC(O)=O,docosahexaenoate (DHA; 22:6n3),docosahexaenoate (DHA; 22:6n3),6217-54-5,393183,HMDB0002183,C06429,445580
S100000672,19258,Lipid,Phosphatidylcholine (PC),2279,RFVFQQWKPSOBED-PSXMRANNSA-N,CCCCCCCCCCCCCCCC(O[C@](COC(CCCCCCCCCCCCC)=O)(COP([O-])(OCC[N+](C)(C)C)=O)[H])=O,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),1-myristoyl-2-palmitoyl-GPC (14:0/16:0),69525-80-0,114798,HMDB0007869,,129657
