CatID,group,cholic_acid,chenodeoxycholic_acid,lithocholic_acid,deoxycholic_acid,ursodeoxycholic_acid,Total_PBA,Total_SBA,Total_BA,Secondary_BA_percent_total,Primary_BA_percent_total,Cholic_Acid_percent_total,Chenodeoxycholic_Acid_percent_to,Lithocholic_Acid_percent_total,Deoxycholic_Acid_percent_total,Ursodeoxycholic_Acid_percent_tot,butyl_myristate,butyl_palmitate,butyl_inoleate,butyl_alpha_linolenate,butyl_oleate,butyl_cis_vaccenate,butyl_stearate,butyl_arachidonate,butyl_gondoate,butyl_docosanoate,butyl_erucate,butyl_nervonate,coprostanol_TMS,cholesterol_TMS_vs_chol,cholestanol_TMS,brassicasterol_TMS,lathosterol_TMS,campesterol_TMS,stigmasterol_TMS,fusosterol_TMS,beta_sitosterol_TMS,sitostanol_TMS,Total_Phytosterols,Total_Zoosterols,Phyto_Zoo_ratio,Total_Sterols,Total_FA
1,C,118,50,848,2236,35,168,3119,3287,95,5,4,2,26,68,1,0.22,3.38,1.85,0.93,2.43,0.99,3.26,1.32,0.12,0.18,0.02,0.07,0.93,2.19,0.19,0.03,0.01,0.96,0.47,0.18,3.95,3.22,8.78,3.33,2.64,12.14,14.76
2,D,12516,1319,112,255,740,13835,1107,14942,7,93,84,9,1,2,5,0.6,4.48,3.56,0.16,4.54,3.51,6.12,0.91,0.26,0.31,0.03,0.18,0.05,4.62,0.14,0.02,0.01,0.55,0.36,0.1,2.54,1.64,5.18,4.82,1.08,10.02,24.65
5,C,160,34,734,11010,94,194,11838,12032,98,2,1,0,6,92,1,0.19,3.31,3.23,0.32,2.02,1.32,2.24,0.57,0.08,0.2,0.02,0.05,1.37,0.92,0.08,0.02,0.01,0.59,0.22,0.1,2.14,2.26,5.32,2.38,2.24,7.72,13.56
6,C,154,79,283,968,49,233,1300,1533,85,15,10,5,18,63,3,0.13,2.26,2.44,0.15,1.75,0.34,1.28,0.61,0.05,0.16,0.02,0.05,0.01,1.78,0.12,0.02,0.01,0.89,0.51,0.22,4,2.84,8.46,1.91,4.42,10.39,9.23
9,C,103,16,141,741,34,119,916,1034,89,11,10,2,14,72,3,0.2,3.64,3.36,0.22,3.13,0.78,1.6,0.62,0.1,0.16,0.02,0.05,0.57,1.22,0.08,0.02,0.01,0.58,0.28,0.14,2.42,2.24,5.67,1.88,3.02,7.56,13.88
11,C,239,169,3420,9824,77,408,13321,13729,97,3,2,1,25,72,1,0.7,4.34,2.57,0.27,2.64,1.84,6.21,1.66,0.11,0.41,0.02,0.08,1.33,3.11,0.12,0.03,0.01,1.41,0.6,0.23,4.45,2.41,9.09,4.57,1.99,13.69,20.86
15,C,727,160,266,1466,201,887,1934,2821,69,31,26,6,9,52,7,0.33,4.62,2.43,0.13,3.34,1.42,4.18,0.91,0.3,0.12,0.04,0.09,0.19,1.47,0.03,0.01,0.01,0.3,0.18,0.07,1.54,0.84,2.93,1.7,1.72,4.64,17.91
18,D,108,41,1240,4173,45,148,5457,5605,97,3,2,1,22,74,1,1.3,5.49,5.01,0.27,5.67,4.25,11,2.38,0.37,0.41,0.03,0.13,0.03,5.67,0.11,0.02,0.01,0.94,0.47,0.13,3.33,2.08,6.95,5.82,1.19,12.8,36.33
19,D,2057,365,281,1268,123,2422,1673,4095,41,59,50,9,7,31,3,0.23,3.62,2.97,0.24,2.86,0.97,2.92,0.97,0.13,0.23,0.02,0.06,0.03,1.34,0.09,0.03,0.01,0.98,0.68,0.27,5.49,3.91,11.33,1.46,7.76,12.83,15.23
21,D,90,59,1258,1254,134,148,2646,2794,95,5,3,2,45,45,5,0.3,3.79,1.34,0.03,2.37,2,2.71,0.83,0.2,0.16,0.04,0.13,0.04,2.14,0.11,0.02,0.01,0.35,0.25,0.08,1.37,0.84,2.89,2.29,1.26,5.19,13.89
28,C,66,11,366,1024,53,77,1442,1519,95,5,4,1,24,67,3,0.72,10.12,2.98,0.11,6.31,5.41,7.93,0.79,0.58,0.22,0.08,0.11,0.01,2.09,0.04,0.01,0.01,0.29,0.22,0.09,1.64,1.21,3.44,2.15,1.6,5.6,35.37
29,C,102,39,302,1349,26,141,1676,1817,92,8,6,2,17,74,1,0.2,4.47,3.31,0.19,3.34,1.15,2.36,0.74,0.14,0.15,0.02,0.05,0.01,1.71,0.08,0.02,0.01,0.86,0.36,0.21,3.79,2.68,7.89,1.81,4.37,9.72,16.11
30,D,838,210,1157,8365,430,1048,9952,11000,90,10,8,2,11,76,4,0.33,3.99,3.21,0.18,4.42,3.92,4.2,1.65,0.26,0.29,0.04,0.13,0.65,2.98,0.17,0.02,0.01,0.8,0.45,0.15,3.76,2.3,7.46,3.8,1.96,11.29,22.61
31,D,379,299,251,2588,75,677,2914,3591,81,19,11,8,7,72,2,0.18,2.48,0.81,0.03,1.08,0.62,2.3,0.57,0.06,0.12,0.02,0.05,0.02,1.25,0.06,0.03,0.01,0.6,0.25,0.14,2.17,1,4.16,1.34,3.11,5.53,8.31
