File,Column,Type,Definition,Units,Scale,Coding,Domain,Notes
FA.csv,CatID,integer identifier,Study cat identifier,none,identifier,,Metadata,Consistent with cytokine/GLP-1 CatIDs; IDs 30 and 31 are author-approved additions. Not interchangeable with metabolomics SampleID.
FA.csv,group,text,Study group,none,categorical,C = nondiabetic control; D = insulin-treated diabetic,Metadata,
FA.csv,cholic_acid,numeric,Cholic acid,ng/mg,original supplied measurement,,Bile acid,Targeted fecal concentration.
FA.csv,chenodeoxycholic_acid,numeric,Chenodeoxycholic acid,ng/mg,original supplied measurement,,Bile acid,Targeted fecal concentration.
FA.csv,lithocholic_acid,numeric,Lithocholic acid,ng/mg,original supplied measurement,,Bile acid,Targeted fecal concentration.
FA.csv,deoxycholic_acid,numeric,Deoxycholic acid,ng/mg,original supplied measurement,,Bile acid,Targeted fecal concentration.
FA.csv,ursodeoxycholic_acid,numeric,Ursodeoxycholic acid,ng/mg,original supplied measurement,,Bile acid,Targeted fecal concentration.
FA.csv,Total_PBA,numeric,Total primary bile acids,µg/mg,original supplied measurement,,Bile acid,Unit confirmed by study author; supplied total retained without recalculation.
FA.csv,Total_SBA,numeric,Total secondary bile acids,µg/mg,original supplied measurement,,Bile acid,Unit confirmed by study author; supplied total retained without recalculation.
FA.csv,Total_BA,numeric,Total bile acids,µg/mg,original supplied measurement,,Bile acid,Unit confirmed by study author; supplied total retained without recalculation.
FA.csv,Secondary_BA_percent_total,numeric,Secondary bile acids as a percentage of total bile acids,%,original supplied measurement,,Bile acid,Percentage points on a 0–100 scale; not a 0–1 fraction.
FA.csv,Primary_BA_percent_total,numeric,Primary bile acids as a percentage of total bile acids,%,original supplied measurement,,Bile acid,Percentage points on a 0–100 scale; not a 0–1 fraction.
FA.csv,Cholic_Acid_percent_total,numeric,Cholic acid as a percentage of total bile acids,%,original supplied measurement,,Bile acid,Percentage points on a 0–100 scale; not a 0–1 fraction.
FA.csv,Chenodeoxycholic_Acid_percent_to,numeric,Chenodeoxycholic acid as a percentage of total bile acids,%,original supplied measurement,,Bile acid,Percentage points on a 0–100 scale; not a 0–1 fraction.
FA.csv,Lithocholic_Acid_percent_total,numeric,Lithocholic acid as a percentage of total bile acids,%,original supplied measurement,,Bile acid,Percentage points on a 0–100 scale; not a 0–1 fraction.
FA.csv,Deoxycholic_Acid_percent_total,numeric,Deoxycholic acid as a percentage of total bile acids,%,original supplied measurement,,Bile acid,Percentage points on a 0–100 scale; not a 0–1 fraction.
FA.csv,Ursodeoxycholic_Acid_percent_tot,numeric,Ursodeoxycholic acid as a percentage of total bile acids,%,original supplied measurement,,Bile acid,Percentage points on a 0–100 scale; not a 0–1 fraction.
FA.csv,butyl_myristate,numeric,Myristic acid (butyl-derivative label),µg/mg,original supplied measurement,,Fatty acid,Source variable uses a butyl-derivative label; units follow Table 5.
FA.csv,butyl_palmitate,numeric,Palmitic acid (butyl-derivative label),µg/mg,original supplied measurement,,Fatty acid,Source variable uses a butyl-derivative label; units follow Table 5.
FA.csv,butyl_inoleate,numeric,Linoleic acid (butyl-derivative label),µg/mg,original supplied measurement,,Fatty acid,Source variable uses a butyl-derivative label; units follow Table 5. Source spelling retained; corresponds to Table 5 butyl linoleate.
FA.csv,butyl_alpha_linolenate,numeric,α-Linolenic acid (butyl-derivative label),µg/mg,original supplied measurement,,Fatty acid,Source variable uses a butyl-derivative label; units follow Table 5.
FA.csv,butyl_oleate,numeric,Oleic acid (butyl-derivative label),µg/mg,original supplied measurement,,Fatty acid,Source variable uses a butyl-derivative label; units follow Table 5.
FA.csv,butyl_cis_vaccenate,numeric,cis-Vaccenic acid (butyl-derivative label),µg/mg,original supplied measurement,,Fatty acid,Source variable uses a butyl-derivative label; units follow Table 5.
FA.csv,butyl_stearate,numeric,Stearic acid (butyl-derivative label),µg/mg,original supplied measurement,,Fatty acid,Source variable uses a butyl-derivative label; units follow Table 5.
FA.csv,butyl_arachidonate,numeric,Arachidonic acid (butyl-derivative label),µg/mg,original supplied measurement,,Fatty acid,Source variable uses a butyl-derivative label; units follow Table 5.
FA.csv,butyl_gondoate,numeric,Gondoic acid (butyl-derivative label),µg/mg,original supplied measurement,,Fatty acid,Source variable uses a butyl-derivative label; units follow Table 5.
FA.csv,butyl_docosanoate,numeric,Docosanoic acid (butyl-derivative label),µg/mg,original supplied measurement,,Fatty acid,Source variable uses a butyl-derivative label; units follow Table 5.
FA.csv,butyl_erucate,numeric,Erucic acid (butyl-derivative label),µg/mg,original supplied measurement,,Fatty acid,Source variable uses a butyl-derivative label; units follow Table 5.
FA.csv,butyl_nervonate,numeric,Nervonic acid (butyl-derivative label),µg/mg,original supplied measurement,,Fatty acid,Source variable uses a butyl-derivative label; units follow Table 5.
FA.csv,coprostanol_TMS,numeric,Coprostanol (TMS label),µg/mg,original supplied measurement,,Sterol,Source TMS label retained; TMS denotes trimethylsilyl. Units follow Table 5.
FA.csv,cholesterol_TMS_vs_chol,numeric,Cholesterol (TMS label),µg/mg,original supplied measurement,,Sterol,Source TMS label retained; TMS denotes trimethylsilyl. Units follow Table 5. The inherited vs_chol suffix does not identify a deposited ratio column; Table 5 treats this variable as cholesterol concentration.
FA.csv,cholestanol_TMS,numeric,Cholestanol (TMS label),µg/mg,original supplied measurement,,Sterol,Source TMS label retained; TMS denotes trimethylsilyl. Units follow Table 5.
FA.csv,brassicasterol_TMS,numeric,Brassicasterol (TMS label),µg/mg,original supplied measurement,,Sterol,Source TMS label retained; TMS denotes trimethylsilyl. Units follow Table 5.
FA.csv,lathosterol_TMS,numeric,Lathosterol (TMS label),µg/mg,original supplied measurement,,Sterol,Source TMS label retained; TMS denotes trimethylsilyl. Units follow Table 5. Constant at 0.01 across all 14 cats; excluded from PCA/PLS and Figure S8 correlations.
FA.csv,campesterol_TMS,numeric,Campesterol (TMS label),µg/mg,original supplied measurement,,Sterol,Source TMS label retained; TMS denotes trimethylsilyl. Units follow Table 5.
FA.csv,stigmasterol_TMS,numeric,Stigmasterol (TMS label),µg/mg,original supplied measurement,,Sterol,Source TMS label retained; TMS denotes trimethylsilyl. Units follow Table 5.
FA.csv,fusosterol_TMS,numeric,Fusosterol (TMS label),µg/mg,original supplied measurement,,Sterol,Source TMS label retained; TMS denotes trimethylsilyl. Units follow Table 5.
FA.csv,beta_sitosterol_TMS,numeric,β-Sitosterol (TMS label),µg/mg,original supplied measurement,,Sterol,Source TMS label retained; TMS denotes trimethylsilyl. Units follow Table 5.
FA.csv,sitostanol_TMS,numeric,Sitostanol (TMS label),µg/mg,original supplied measurement,,Sterol,Source TMS label retained; TMS denotes trimethylsilyl. Units follow Table 5.
FA.csv,Total_Phytosterols,numeric,Total phytosterols,ng/mg,original supplied measurement,,Sterol,Supplied total; units follow Table 5. Component formulas are not specified in the deposited files.
FA.csv,Total_Zoosterols,numeric,Total zoosterols,ng/mg,original supplied measurement,,Sterol,Supplied total; units follow Table 5. Component formulas are not specified in the deposited files.
FA.csv,Phyto_Zoo_ratio,numeric,Phytosterol-to-zoosterol ratio,unitless,original supplied measurement,,Sterol,Supplied ratio retained without recalculation.
FA.csv,Total_Sterols,numeric,Total sterols,ng/mg,original supplied measurement,,Sterol,Supplied total; units follow Table 5. Component formulas are not specified in the deposited files.
FA.csv,Total_FA,numeric,Total fatty acids,ng/mg,original supplied measurement,,Fatty acid,Supplied total; units follow Table 5. Component formulas are not specified in the deposited files.
fa_revised.csv,CatID,integer identifier,Study cat identifier,none,identifier,,Metadata,Consistent with cytokine/GLP-1 CatIDs; IDs 30 and 31 are author-approved additions. Not interchangeable with metabolomics SampleID.
fa_revised.csv,group,text,Study group,none,categorical,C = nondiabetic control; D = insulin-treated diabetic,Metadata,
fa_revised.csv,cholic_acid,numeric,Cholic acid,ng/mg,original supplied measurement,,Bile acid,Targeted fecal concentration.
fa_revised.csv,chenodeoxycholic_acid,numeric,Chenodeoxycholic acid,ng/mg,original supplied measurement,,Bile acid,Targeted fecal concentration.
fa_revised.csv,lithocholic_acid,numeric,Lithocholic acid,ng/mg,original supplied measurement,,Bile acid,Targeted fecal concentration.
fa_revised.csv,deoxycholic_acid,numeric,Deoxycholic acid,ng/mg,original supplied measurement,,Bile acid,Targeted fecal concentration.
fa_revised.csv,ursodeoxycholic_acid,numeric,Ursodeoxycholic acid,ng/mg,original supplied measurement,,Bile acid,Targeted fecal concentration.
fa_revised.csv,Total_PBA,numeric,Total primary bile acids,µg/mg,original supplied measurement,,Bile acid,Unit confirmed by study author; supplied total retained without recalculation.
fa_revised.csv,Total_SBA,numeric,Total secondary bile acids,µg/mg,original supplied measurement,,Bile acid,Unit confirmed by study author; supplied total retained without recalculation.
fa_revised.csv,Total_BA,numeric,Total bile acids,µg/mg,original supplied measurement,,Bile acid,Unit confirmed by study author; supplied total retained without recalculation.
fa_revised.csv,Secondary_BA_percent_total,numeric,Secondary bile acids as a percentage of total bile acids,%,original supplied measurement,,Bile acid,Percentage points on a 0–100 scale; not a 0–1 fraction.
fa_revised.csv,Primary_BA_percent_total,numeric,Primary bile acids as a percentage of total bile acids,%,original supplied measurement,,Bile acid,Percentage points on a 0–100 scale; not a 0–1 fraction.
